id,country,20211014,20211013,20211012,20211011,20211010,20211009,20211008,20211007,20211006,20211005,20211004,20211003,20211002,20211001,20210930,20210929,20210928,20210927,20210926,20210925,20210924,20210923,20210922,20210921,20210920,20210919,20210918,20210917,20210916,20210915,20210914,20210913,20210912,20210911,20210910,20210909,20210908,20210907,20210906,20210905,20210904,20210903,20210902,20210901,20210831,20210830,20210829,20210828,20210827,20210826,20210825,20210824,20210823,20210822,20210821,20210820,20210819,20210818,20210817,20210816,20210815,20210814,20210813,20210812,20210811,20210810,20210809,20210808,20210807,20210806,20210805,20210804
1,Afghanistan,155682,155627,155599,155540,155508,155466,155448,155429,155380,155309,155287,155191,155191,155191,155174,155128,155093,155072,154960,154960,154960,154800,154757,154712,154585,154487,154487,154487,154361,154283,154180,154094,153962,153962,153962,153840,153736,153626,153534,153375,153375,153375,153306,153260,153220,153148,152960,152960,152960,152822,152722,152583,152583,152448,152448,152448,152411,152363,152243,152142,151770,151770,151770,151563,151291,151013,150778,149810,149810,149810,149361,148933
2,Albania,176667,176172,175664,175163,174968,174643,174168,173723,173190,172618,171794,171794,171327,170778,170131,169462,168782,168188,167893,167354,166690,165864,165096,164276,163404,162953,162173,161324,160365,159423,158431,157436,157026,156162,155293,154316,153318,152239,151499,150997,150101,149117,148222,147369,146387,145333,144847,144079,143174,142253,141365,140521,139721,139324,138790,138132,137597,137075,136598,136147,135947,135550,135140,134761,134487,134201,133981,133912,133730,133591,133442,133310
3,Algeria,205005,204790,204790,204597,204597,204388,204276,204171,204171,204046,203789,203789,203657,203517,203359,203198,202877,202877,202574,202574,202449,202283,202122,201766,201766,201600,201425,200989,200989,200770,200528,200301,199822,199822,199560,198962,198962,198645,198004,197659,197308,196915,196915,196527,196080,195574,195162,194671,194186,193171,193171,192626,192089,191583,191171,190656,190078,189384,188663,187968,187258,186655,185902,185042,184191,183347,182368,181376,180356,179216,178013,176724
4,Andorra,15326,15307,15307,15291,15291,15291,15291,15288,15284,15271,15267,15222,15222,15222,15222,15209,15192,15189,15167,15167,15167,15156,15153,15140,15140,15124,15124,15124,15113,15108,15099,15096,15083,15083,15083,15078,15070,15070,15069,15055,15055,15055,15052,15046,15033,15032,15025,15025,15025,15016,15014,15003,15002,14988,14988,14988,14981,14976,14960,14954,14924,14924,14924,14908,14891,14873,14836,14836,14836,14836,14809,14797
5,Angola,62143,61794,61580,61378,61245,61023,60803,60448,59895,59371,58943,58603,58076,56583,56583,56040,55583,55121,54795,54280,53840,53387,52968,52644,52307,52307,52208,51827,51407,51047,50738,50446,50348,49943,49628,49349,49114,48790,48656,48475,48261,48004,47781,47544,47331,47168,47079,46929,46726,46539,46340,46076,45945,45945,45583,45325,45175,44972,44739,44617,44534,44534,44174,43998,43890,43747,43662,43592,43487,43487,43158,43070
6,Antigua and Barbuda,3817,3772,3750,3750,3738,3678,3663,3581,3518,3503,3503,3403,3336,3231,3231,3160,2923,2923,2923,2902,2815,2625,2603,2603,2603,2603,2603,2463,2304,2304,2297,2166,2166,2059,2059,1974,1960,1878,1870,1759,1750,1750,1742,1719,1713,1713,1651,1638,1598,1598,1540,1540,1490,1490,1490,1421,1421,1421,1397,1397,1378,1372,1372,1372,1348,1348,1348,1328,1328,1320,1311,1311
7,Argentina,5268653,5267339,5266275,5265859,5265528,5265058,5264305,5263219,5261935,5260719,5259738,5259352,5258466,5256902,5255261,5253765,5251940,5250402,5249840,5248847,5246998,5245265,5243231,5241394,5239232,5238610,5237159,5234851,5232358,5229848,5226831,5224534,5223604,5221809,5218993,5215332,5211801,5207695,5203802,5202405,5199919,5195601,5190948,5185620,5178889,5173531,5171458,5167733,5161926,5155079,5148085,5139966,5133831,5130852,5124963,5116803,5106207,5096443,5088271,5084635,5080908,5074725,5066253,5052884,5041487,5029075,5018895,5012754,5002951,4989402,4975616,4961880
8,Armenia,276666,275077,273860,272957,272356,271205,269874,268672,267363,266208,265317,264690,263783,262631,261697,260675,259779,259007,258545,257620,256554,255648,254709,254436,253942,253600,253093,252082,251323,250559,249803,249146,248850,248397,247666,246997,246410,245765,245264,245025,244602,243981,243386,242750,242135,241611,241336,240953,240261,239739,239056,238422,237885,237634,237249,236742,236234,235675,235171,234814,234558,234227,233797,233400,233001,232610,232297,232157,231923,231625,231322,230993
9,Australia,136135,133441,131380,129570,127454,125082,122553,120042,117826,115801,113411,111392,109315,107171,105123,102723,100912,99032,97539,95807,93943,92179,90372,88710,87101,85629,84056,82202,80402,78544,76895,75324,73605,71955,69911,68045,66318,64628,63154,61609,59951,58210,56565,55093,53851,52612,51256,49937,48815,47840,46728,45750,44922,44028,43119,42229,41522,40775,40097,39615,39097,38658,38165,37754,37377,37009,36630,36330,36045,35688,35391,35089
